company,date,price
2330,2020/4/8,285
2330,2020/4/7,283
2330,2020/4/6,275.5
2330,2020/4/1,271.5
2330,2020/3/31,274
2330,2020/3/30,267.5
2330,2020/3/27,273
2330,2020/3/26,280
2330,2020/3/25,277
2330,2020/3/24,267.5
2330,2020/3/23,255
2330,2020/3/20,270
2330,2020/3/19,248
2330,2020/3/18,260
2330,2020/3/17,268
2330,2020/3/16,276.5
2330,2020/3/13,290
2330,2020/3/12,294
2330,2020/3/11,302
2330,2020/3/10,307
2330,2020/3/9,305.5
2330,2020/3/6,315
2330,2020/3/5,323
2330,2020/3/4,320.5
2330,2020/3/3,317.5
2330,2020/3/2,311
2330,2020/2/27,316
2330,2020/2/26,318.5
2330,2020/2/25,322
2330,2020/2/24,320
2330,2020/2/21,325
2330,2020/2/20,325.5
2330,2020/2/19,326.5
2330,2020/2/18,322
2330,2020/2/17,331.5
2330,2020/2/14,335
2330,2020/2/13,335
2330,2020/2/12,335
2330,2020/2/11,331.5
2330,2020/2/10,327.5
2330,2020/2/7,328
2330,2020/2/6,332.5
2330,2020/2/5,327.5
2330,2020/2/4,325
2330,2020/2/3,315
2330,2020/1/31,320
2330,2020/1/30,316.5
2330,2020/1/20,333
2330,2020/1/17,333
2330,2020/1/16,334.5
2330,2020/1/15,340
2330,2020/1/14,346
2330,2020/1/13,341.5
2330,2020/1/10,339.5
2330,2020/1/9,337.5
2330,2020/1/8,329.5
2330,2020/1/7,329.5
2330,2020/1/6,332
2330,2020/1/3,339.5
2330,2020/1/2,339
2330,2019/12/31,331
2330,2019/12/30,334.5
2330,2019/12/27,338
2330,2019/12/26,333
2330,2019/12/25,333
2330,2019/12/24,332
2330,2019/12/23,334
2330,2019/12/20,329
2330,2019/12/19,335
2330,2019/12/18,344.5
2330,2019/12/17,345
2330,2019/12/16,336
2330,2019/12/13,339
2330,2019/12/12,331.5
2330,2019/12/11,319
2330,2019/12/10,313.5
2330,2019/12/9,316
2330,2019/12/6,313
2330,2019/12/5,312
2330,2019/12/4,306
2330,2019/12/3,307
2330,2019/12/2,307.5
2330,2019/11/29,305
2330,2019/11/28,309.5
2330,2019/11/27,311
2330,2019/11/26,307
2330,2019/11/25,307
2330,2019/11/22,309
2330,2019/11/21,311
2330,2019/11/20,313.5
2330,2019/11/19,315
2330,2019/11/18,311
2330,2019/11/15,307
2330,2019/11/14,303.5
2330,2019/11/13,304
2330,2019/11/12,305
2330,2019/11/11,301
2330,2019/11/8,305.5
2330,2019/11/7,309
2330,2019/11/6,311
2330,2019/11/5,310.5
2330,2019/11/4,307
2330,2019/11/1,299
2330,2019/10/31,298.5
2330,2019/10/30,299.5
2330,2019/10/29,298.5
2330,2019/10/28,294.5
2330,2019/10/25,293.5
2330,2019/10/24,293
2330,2019/10/23,293
2330,2019/10/22,294
2330,2019/10/21,290
2330,2019/10/18,293
2330,2019/10/17,293.5
2330,2019/10/16,296.5
2330,2019/10/15,293.5
2330,2019/10/14,290
2330,2019/10/9,282
2330,2019/10/8,286.5
2330,2019/10/7,278
2330,2019/10/4,276.5
2330,2019/10/3,276.5
2330,2019/10/2,279.5
2330,2019/10/1,280
2330,2019/9/27,272
2330,2019/9/26,268
2330,2019/9/25,266
2330,2019/9/24,265
2330,2019/9/23,264
2330,2019/9/20,264
2330,2019/9/19,265
2330,2019/9/18,267
2330,2019/9/17,265
2330,2019/9/16,265.5
2330,2019/9/12,262.5
2330,2019/9/11,263
2330,2019/9/10,261.5
2330,2019/9/9,265
2330,2019/9/6,263.5
2330,2019/9/5,263
2330,2019/9/4,257.5
2330,2019/9/3,254
2330,2019/9/2,257.5
2330,2019/8/30,259
2330,2019/8/29,254
2330,2019/8/28,252
2330,2019/8/27,250
2330,2019/8/26,248.5
2330,2019/8/23,254
2330,2019/8/22,254
2330,2019/8/21,254.5
2330,2019/8/20,254.5
2330,2019/8/19,252
2330,2019/8/16,250
2330,2019/8/15,248
2330,2019/8/14,249.5
2330,2019/8/13,246.5
2330,2019/8/12,251
2330,2019/8/8,253.5
2330,2019/8/7,248
2330,2019/8/6,248.5
2330,2019/8/5,246.5
2330,2019/8/2,251.5
2330,2019/8/1,256.5
2330,2019/7/31,259.5
2330,2019/7/30,260
2330,2019/7/29,261
2330,2019/7/26,261
2330,2019/7/25,265
2330,2019/7/24,265
2330,2019/7/23,264
2330,2019/7/22,264
2330,2019/7/19,259
2330,2019/7/18,254
2330,2019/7/17,252
2330,2019/7/16,256
2330,2019/7/15,254.5
2330,2019/7/12,250.5
2330,2019/7/11,250
2330,2019/7/10,247
2330,2019/7/9,242
2330,2019/7/8,242.5
2330,2019/7/5,243
2330,2019/7/4,244
2330,2019/7/3,242.5
2330,2019/7/2,249
2330,2019/7/1,248.5
2330,2019/6/28,239
2330,2019/6/27,240.5
2330,2019/6/26,234.5
2330,2019/6/25,238.5
2330,2019/6/24,241
2330,2019/6/21,248.5
2330,2019/6/20,245
2330,2019/6/19,244
2330,2019/6/18,235.5
2330,2019/6/17,233
2330,2019/6/14,236
2330,2019/6/13,240
2330,2019/6/12,246
2330,2019/6/11,244.5
2330,2019/6/10,240
2330,2019/6/6,232
2330,2019/6/5,235
2330,2019/6/4,233
2330,2019/6/3,238
2330,2019/5/31,235.5
2330,2019/5/30,231
2330,2019/5/29,229.5
2330,2019/5/28,230.5
2330,2019/5/27,231
2330,2019/5/24,233
2330,2019/5/23,230
2330,2019/5/22,238
2330,2019/5/21,234
2330,2019/5/20,238
2330,2019/5/17,241.5
2330,2019/5/16,247
2330,2019/5/15,249
2330,2019/5/14,248.5
2330,2019/5/13,250.5
2330,2019/5/10,256
2330,2019/5/9,256.5
2330,2019/5/8,260
2330,2019/5/7,262.5
2330,2019/5/6,259
2330,2019/5/3,265
2330,2019/5/2,259
2330,2019/4/30,259
2330,2019/4/29,259.5
2330,2019/4/26,260
2330,2019/4/25,267.5
2330,2019/4/24,269
2330,2019/4/23,268
2330,2019/4/22,266
2330,2019/4/19,264.5
2330,2019/4/18,264.5
2330,2019/4/17,261.5
2330,2019/4/16,257
2330,2019/4/15,255.5
2330,2019/4/12,252
2330,2019/4/11,252
2330,2019/4/10,254
2330,2019/4/9,254
2330,2019/4/8,253
2330,2019/4/3,246.5
2330,2019/4/2,246
2330,2019/4/1,245.5
2330,2019/3/29,245.5
2330,2019/3/28,242
2330,2019/3/27,241.5
2330,2019/3/26,244
2330,2019/3/25,241.5
2330,2019/3/22,248.5
2330,2019/3/21,245.5
2330,2019/3/20,242
2330,2019/3/19,240.5
2330,2019/3/18,241
2330,2019/3/15,239
2330,2019/3/14,234.5
2330,2019/3/13,237
2330,2019/3/12,235.5
2330,2019/3/11,230.5
2330,2019/3/8,230
2330,2019/3/7,234
2330,2019/3/6,234
2330,2019/3/5,233
2330,2019/3/4,235.5
2330,2019/2/27,239
2330,2019/2/26,239.5
2330,2019/2/25,238
2330,2019/2/22,236.5
2330,2019/2/21,236.5
2330,2019/2/20,234.5
2330,2019/2/19,229
2330,2019/2/18,230
2330,2019/2/15,227
2330,2019/2/14,227
2330,2019/2/13,229
2330,2019/2/12,230
2330,2019/2/11,228
2330,2019/1/30,221
2330,2019/1/29,222.5
2330,2019/1/28,229
2330,2019/1/25,226
2330,2019/1/24,222.5
2330,2019/1/23,220.5
2330,2019/1/22,223
2330,2019/1/21,221
2330,2019/1/18,218.5
2330,2019/1/17,220.5
2330,2019/1/16,217.5
2330,2019/1/15,221
2330,2019/1/14,218.5
2330,2019/1/11,220.5
2330,2019/1/10,216
2330,2019/1/9,215.5
2330,2019/1/8,211
2330,2019/1/7,213
2330,2019/1/4,208
2330,2019/1/3,215.5
2330,2019/1/2,219.5
2330,2018/12/28,225.5
2330,2018/12/27,223
2330,2018/12/26,216.5
2330,2018/12/25,217.5
2330,2018/12/24,220
2330,2018/12/22,221.5
2330,2018/12/21,223.5
2330,2018/12/20,221
2330,2018/12/19,225.5
2330,2018/12/18,222.5
2330,2018/12/17,223.5
2330,2018/12/14,222.5
2330,2018/12/13,226
2330,2018/12/12,226.5
2330,2018/12/11,222.5
2330,2018/12/10,219
2330,2018/12/7,221
2330,2018/12/6,220
2330,2018/12/5,226
2330,2018/12/4,234
2330,2018/12/3,235
2330,2018/11/30,225.5
2330,2018/11/29,229
2330,2018/11/28,226.5
2330,2018/11/27,224
2330,2018/11/26,223
2330,2018/11/23,218.5
2330,2018/11/22,219
2330,2018/11/21,219
2330,2018/11/20,218
2330,2018/11/19,222
2330,2018/11/16,226
2330,2018/11/15,231
2330,2018/11/14,228.5
2330,2018/11/13,227.5
2330,2018/11/12,231.5
2330,2018/11/9,231
2330,2018/11/8,236.5
2330,2018/11/7,234
2330,2018/11/6,234.5
2330,2018/11/5,235
2330,2018/11/2,236.5
2330,2018/11/1,235.5
2330,2018/10/31,234
2330,2018/10/30,223
2330,2018/10/29,222.5
2330,2018/10/26,221
2330,2018/10/25,219.5
2330,2018/10/24,229.5
2330,2018/10/23,230
2330,2018/10/22,237
2330,2018/10/19,236
2330,2018/10/18,236.5
2330,2018/10/17,238.5
2330,2018/10/16,237
2330,2018/10/15,230.5
2330,2018/10/12,237
2330,2018/10/11,227.5
2330,2018/10/9,244
2330,2018/10/8,243.5
2330,2018/10/5,250
2330,2018/10/4,254
2330,2018/10/3,260
2330,2018/10/2,257.5
2330,2018/10/1,263
2330,2018/9/28,262.5
2330,2018/9/27,265
2330,2018/9/26,263.5
2330,2018/9/25,263.5
2330,2018/9/21,261.5
2330,2018/9/20,260
2330,2018/9/19,258
2330,2018/9/18,254.5
2330,2018/9/17,258
2330,2018/9/14,261
2330,2018/9/13,255
2330,2018/9/12,260.5
2330,2018/9/11,260
2330,2018/9/10,264.5
2330,2018/9/7,264
2330,2018/9/6,261
2330,2018/9/5,264
2330,2018/9/4,257.5
2330,2018/9/3,257
2330,2018/8/31,256
2330,2018/8/30,263.5
2330,2018/8/29,259
2330,2018/8/28,249.5
2330,2018/8/27,245
2330,2018/8/24,243.5
2330,2018/8/23,244.5
2330,2018/8/22,242
2330,2018/8/21,241
2330,2018/8/20,239.5
2330,2018/8/17,239.5
2330,2018/8/16,239
2330,2018/8/15,241.5
2330,2018/8/14,243.5
2330,2018/8/13,240.5
2330,2018/8/10,245
2330,2018/8/9,247
2330,2018/8/8,247.5
2330,2018/8/7,241.5
2330,2018/8/6,245.5
2330,2018/8/3,247
2330,2018/8/2,244.5
2330,2018/8/1,248
2330,2018/7/31,246
2330,2018/7/30,245.5
2330,2018/7/27,244.5
2330,2018/7/26,241
2330,2018/7/25,240.5
2330,2018/7/24,241
2330,2018/7/23,241
2330,2018/7/20,237.5
2330,2018/7/19,224.5
2330,2018/7/18,223
2330,2018/7/17,221.5
2330,2018/7/16,223.5
2330,2018/7/13,224.5
2330,2018/7/12,220.5
2330,2018/7/11,220
2330,2018/7/10,222
2330,2018/7/9,221.5
2330,2018/7/6,217
2330,2018/7/5,214.5
2330,2018/7/4,216
2330,2018/7/3,214.5
2330,2018/7/2,214
2330,2018/6/29,216.5
2330,2018/6/28,212
2330,2018/6/27,213
2330,2018/6/26,214.5
2330,2018/6/25,218
2330,2018/6/22,227.5
2330,2018/6/21,226.5
2330,2018/6/20,226
2330,2018/6/19,225
2330,2018/6/15,231
2330,2018/6/14,226.5
2330,2018/6/13,232
2330,2018/6/12,229
2330,2018/6/11,226
2330,2018/6/8,227
2330,2018/6/7,230
2330,2018/6/6,230
2330,2018/6/5,229
2330,2018/6/4,229
2330,2018/6/1,224
2330,2018/5/31,224
2330,2018/5/30,221
2330,2018/5/29,225
2330,2018/5/28,227
2330,2018/5/25,228.5
2330,2018/5/24,229
2330,2018/5/23,228.5
2330,2018/5/22,229
2330,2018/5/21,229
2330,2018/5/18,223.5
2330,2018/5/17,226.5
2330,2018/5/16,230.5
2330,2018/5/15,230.5
2330,2018/5/14,233
2330,2018/5/11,233
2330,2018/5/10,229.5
2330,2018/5/9,229.5
2330,2018/5/8,228
2330,2018/5/7,223.5
2330,2018/5/4,223
2330,2018/5/3,220.5
2330,2018/5/2,223
2330,2018/4/30,227
2330,2018/4/27,223.5
2330,2018/4/26,222
2330,2018/4/25,225
2330,2018/4/24,227
2330,2018/4/23,226.5
2330,2018/4/20,229
2330,2018/4/19,244.5
2330,2018/4/18,238
2330,2018/4/17,238
2330,2018/4/16,243.5
2330,2018/4/13,244.5
2330,2018/4/12,245
2330,2018/4/11,248
2330,2018/4/10,245.5
2330,2018/4/9,245
2330,2018/4/3,244
2330,2018/4/2,246.5
2330,2018/3/31,247.5
2330,2018/3/30,246
2330,2018/3/29,244
2330,2018/3/28,245
2330,2018/3/27,251
2330,2018/3/26,243.5
2330,2018/3/23,245
2330,2018/3/22,251.5
2330,2018/3/21,252.5
2330,2018/3/20,253
2330,2018/3/19,255
2330,2018/3/16,255
2330,2018/3/15,255
2330,2018/3/14,257
2330,2018/3/13,259
2330,2018/3/12,254
2330,2018/3/9,250.5
2330,2018/3/8,249.5
2330,2018/3/7,247
2330,2018/3/6,250
2330,2018/3/5,241.5
2330,2018/3/2,240
2330,2018/3/1,243
2330,2018/2/27,246
2330,2018/2/26,246.5
2330,2018/2/23,245
2330,2018/2/22,239.5
2330,2018/2/21,242.5
2330,2018/2/12,236.5
2330,2018/2/9,232.5
2330,2018/2/8,238.5
2330,2018/2/7,240
2330,2018/2/6,239
2330,2018/2/5,253
2330,2018/2/2,259.5
2330,2018/2/1,259.5
2330,2018/1/31,255
2330,2018/1/30,253
2330,2018/1/29,258.5
2330,2018/1/26,255
2330,2018/1/25,258
2330,2018/1/24,258
2330,2018/1/23,266
2330,2018/1/22,261.5
2330,2018/1/19,255.5
2330,2018/1/18,248.5
2330,2018/1/17,242
2330,2018/1/16,240.5
2330,2018/1/15,240
2330,2018/1/12,237
2330,2018/1/11,235
2330,2018/1/10,236.5
2330,2018/1/9,242
2330,2018/1/8,242
2330,2018/1/5,240
2330,2018/1/4,239.5
2330,2018/1/3,237
2330,2018/1/2,232.5
2330,2017/12/29,229.5
2330,2017/12/28,226
2330,2017/12/27,225
2330,2017/12/26,226
2330,2017/12/25,228.5
2330,2017/12/22,227.5
2330,2017/12/21,225
2330,2017/12/20,224.5
2330,2017/12/19,225
2330,2017/12/18,227
2330,2017/12/15,230
2330,2017/12/14,230.5
2330,2017/12/13,227
2330,2017/12/12,227.5
2330,2017/12/11,227.5
2330,2017/12/8,227
2330,2017/12/7,226.5
2330,2017/12/6,227
2330,2017/12/5,229.5
2330,2017/12/4,234
2330,2017/12/1,231
2330,2017/11/30,226
2330,2017/11/29,234.5
2330,2017/11/28,234
2330,2017/11/27,237
2330,2017/11/24,244
2330,2017/11/23,242.5
2330,2017/11/22,242
2330,2017/11/21,243
2330,2017/11/20,238.5
2330,2017/11/17,241.5
2330,2017/11/16,238
2330,2017/11/15,237.5
2330,2017/11/14,240
2330,2017/11/13,239.5
2330,2017/11/10,240.5
2330,2017/11/9,241
2330,2017/11/8,242.5
2330,2017/11/7,244
2330,2017/11/6,239.5
2330,2017/11/3,239
2330,2017/11/2,241
2330,2017/11/1,242.5
2330,2017/10/31,243
2330,2017/10/30,243
2330,2017/10/27,239
2330,2017/10/26,236
2330,2017/10/25,238
2330,2017/10/24,238
2330,2017/10/23,239
2330,2017/10/20,237.5
2330,2017/10/19,239
2330,2017/10/18,237.5
2330,2017/10/17,235.5
2330,2017/10/16,238
2330,2017/10/13,237.5
2330,2017/10/12,237.5
2330,2017/10/11,233
2330,2017/10/6,224.5
2330,2017/10/5,224.5
2330,2017/10/3,222.5
2330,2017/10/2,220.5
2330,2017/9/30,216.5
2330,2017/9/29,216.5
2330,2017/9/28,214
2330,2017/9/27,215
2330,2017/9/26,214
2330,2017/9/25,217
2330,2017/9/22,218.5
2330,2017/9/21,221
2330,2017/9/20,221.5
2330,2017/9/19,221.5
2330,2017/9/18,219.5
2330,2017/9/15,218.5
2330,2017/9/14,218.5
2330,2017/9/13,218
2330,2017/9/12,219
2330,2017/9/11,217
2330,2017/9/8,218
2330,2017/9/7,217
2330,2017/9/6,217
2330,2017/9/5,218
2330,2017/9/4,217.5
2330,2017/9/1,216.5
2330,2017/8/31,216.5
2330,2017/8/30,217.5
2330,2017/8/29,216
2330,2017/8/28,216
2330,2017/8/25,217.5
2330,2017/8/24,217
2330,2017/8/23,215.5
2330,2017/8/22,214.5
2330,2017/8/21,211.5
2330,2017/8/18,212.5
2330,2017/8/17,214
2330,2017/8/16,213
2330,2017/8/15,214
2330,2017/8/14,211
2330,2017/8/11,212.5
2330,2017/8/10,214
2330,2017/8/9,214.5
2330,2017/8/8,217.5
2330,2017/8/7,216
2330,2017/8/4,213
2330,2017/8/3,213.5
2330,2017/8/2,216
2330,2017/8/1,212
2330,2017/7/31,214.5
2330,2017/7/28,213
2330,2017/7/27,215.5
2330,2017/7/26,213
2330,2017/7/25,214
2330,2017/7/24,214.5
2330,2017/7/21,214
2330,2017/7/20,215.5
2330,2017/7/19,214.5
2330,2017/7/18,214
2330,2017/7/17,213
2330,2017/7/14,213
2330,2017/7/13,214.5
2330,2017/7/12,210.5
2330,2017/7/11,212
2330,2017/7/10,206
2330,2017/7/7,206
2330,2017/7/6,207.5
2330,2017/7/5,208.5
2330,2017/7/4,207
2330,2017/7/3,209
2330,2017/6/30,208.5
2330,2017/6/29,210
2330,2017/6/28,208.5
2330,2017/6/27,211.5
2330,2017/6/26,215
2330,2017/6/23,217
2330,2017/6/22,218
2330,2017/6/21,215.5
2330,2017/6/20,216.5
2330,2017/6/19,213
2330,2017/6/16,211.5
2330,2017/6/15,208
2330,2017/6/14,207
2330,2017/6/13,208
2330,2017/6/12,207.5
2330,2017/6/9,212
2330,2017/6/8,213
2330,2017/6/7,211.5
2330,2017/6/6,210.5
2330,2017/6/5,212
2330,2017/6/3,209
2330,2017/6/2,209
2330,2017/6/1,207
2330,2017/5/31,203
2330,2017/5/26,207
2330,2017/5/25,207
2330,2017/5/24,205.5
2330,2017/5/23,205
2330,2017/5/22,205
2330,2017/5/19,203
2330,2017/5/18,203.5
2330,2017/5/17,204
2330,2017/5/16,204.5
2330,2017/5/15,206
2330,2017/5/12,206
2330,2017/5/11,207.5
2330,2017/5/10,205.5
2330,2017/5/9,203.5
2330,2017/5/8,202.5
2330,2017/5/5,197.5
2330,2017/5/4,198
2330,2017/5/3,198
2330,2017/5/2,196.5
2330,2017/4/28,194.5
2330,2017/4/27,193
2330,2017/4/26,191
2330,2017/4/25,192
2330,2017/4/24,190
2330,2017/4/21,190
2330,2017/4/20,187
2330,2017/4/19,186.5
2330,2017/4/18,188
2330,2017/4/17,187.5
2330,2017/4/14,189
2330,2017/4/13,191.5
2330,2017/4/12,191
2330,2017/4/11,191
2330,2017/4/10,190
2330,2017/4/7,191
2330,2017/4/6,191.5
2330,2017/4/5,193
2330,2017/3/31,189
2330,2017/3/30,191.5
2330,2017/3/29,191.5
2330,2017/3/28,194.5
2330,2017/3/27,193
2330,2017/3/24,192.5
2330,2017/3/23,193.5
2330,2017/3/22,193.5
2330,2017/3/21,195
2330,2017/3/20,191.5
2330,2017/3/17,191.5
2330,2017/3/16,190
2330,2017/3/15,186.5
2330,2017/3/14,186
2330,2017/3/13,186.5
2330,2017/3/10,183.5
2330,2017/3/9,184.5
2330,2017/3/8,187
2330,2017/3/7,185.5
2330,2017/3/6,183.5
2330,2017/3/3,184
2330,2017/3/2,186
2330,2017/3/1,186
2330,2017/2/24,189
2330,2017/2/23,188.5
2330,2017/2/22,188.5
2330,2017/2/21,190
2330,2017/2/20,190
2330,2017/2/18,189.5
2330,2017/2/17,189.5
2330,2017/2/16,189
2330,2017/2/15,189
2330,2017/2/14,187.5
2330,2017/2/13,187.5
2330,2017/2/10,185.5
2330,2017/2/9,184
2330,2017/2/8,183.5
2330,2017/2/7,184.5
2330,2017/2/6,184.5
2330,2017/2/3,184.5
2330,2017/2/2,184.5
2330,2017/1/24,185.5
2330,2017/1/23,185
2330,2017/1/20,181
2330,2017/1/19,180.5
2330,2017/1/18,181
2330,2017/1/17,181
2330,2017/1/16,179.5
2330,2017/1/13,181.5
2330,2017/1/12,184.5
2330,2017/1/11,182
2330,2017/1/10,184
2330,2017/1/9,184
2330,2017/1/6,184
2330,2017/1/5,183.5
2330,2017/1/4,183
2330,2017/1/3,183
2330,2016/12/30,181.5
2330,2016/12/29,180
2330,2016/12/28,182
2330,2016/12/27,180
2330,2016/12/26,179.5
2330,2016/12/23,178.5
2330,2016/12/22,179
2330,2016/12/21,180
2330,2016/12/20,182.5
2330,2016/12/19,182.5
2330,2016/12/16,185
2330,2016/12/15,187
2330,2016/12/14,187.5
2330,2016/12/13,186
2330,2016/12/12,185
2330,2016/12/9,186
2330,2016/12/8,185.5
2330,2016/12/7,181.5
2330,2016/12/6,182
2330,2016/12/5,179
2330,2016/12/2,178
2330,2016/12/1,183
2330,2016/11/30,183
2330,2016/11/29,182
2330,2016/11/28,184
2330,2016/11/25,182
2330,2016/11/24,183
2330,2016/11/23,185.5
2330,2016/11/22,184
2330,2016/11/21,181
2330,2016/11/18,181
2330,2016/11/17,181.5
2330,2016/11/16,180
2330,2016/11/15,180
2330,2016/11/14,180.5
2330,2016/11/11,181.5
2330,2016/11/10,185.5
2330,2016/11/9,182
2330,2016/11/8,188.5
2330,2016/11/7,189
2330,2016/11/4,184.5
2330,2016/11/3,184.5
2330,2016/11/2,186
2330,2016/11/1,189.5
2330,2016/10/31,188.5
2330,2016/10/28,189.5
2330,2016/10/27,188.5
2330,2016/10/26,191.5
2330,2016/10/25,193
2330,2016/10/24,191
2330,2016/10/21,188.5
2330,2016/10/20,190.5
2330,2016/10/19,189.5
2330,2016/10/18,187
2330,2016/10/17,186.5
2330,2016/10/14,188
2330,2016/10/13,188.5
2330,2016/10/12,189.5
2330,2016/10/11,187.5
2330,2016/10/7,188
2330,2016/10/6,187.5
2330,2016/10/5,186
2330,2016/10/4,187
2330,2016/10/3,186
2330,2016/9/30,182.5
2330,2016/9/29,185.5
2330,2016/9/26,183
2330,2016/9/23,187.5
2330,2016/9/22,185.5
2330,2016/9/21,184
2330,2016/9/20,183
2330,2016/9/19,182.5
2330,2016/9/14,173.5
2330,2016/9/13,175
2330,2016/9/12,175
2330,2016/9/10,178
2330,2016/9/9,179.5
2330,2016/9/8,183
2330,2016/9/7,184
2330,2016/9/6,179
2330,2016/9/5,176.5
2330,2016/9/2,174.5
2330,2016/9/1,173.5
2330,2016/8/31,176
2330,2016/8/30,174.5
2330,2016/8/29,176.5
2330,2016/8/26,177
2330,2016/8/25,177
2330,2016/8/24,173.5
2330,2016/8/23,174
2330,2016/8/22,173
2330,2016/8/19,174.5
2330,2016/8/18,176
